feature,emotion
[0.01334892 0.         0.00601628 ... 0.03038532 0.04915545 0.        ],7
[0.38642156 0.         0.         ... 0.         0.         0.        ],4
[0.10530415 0.         0.02792298 ... 0.0264948  0.         0.        ],5
[0.28053304 0.04150596 0.06562668 ... 0.2885869  0.2885869  0.2885869 ],7
[0.23434466 0.08538987 0.03167813 ... 0.2589237  0.2589237  0.25568846],3
[0.         0.         0.         ... 0.13496041 0.         0.        ],5
[0.23561219 0.0329278  0.         ... 0.06604581 0.05252334 0.        ],4
[0.24265572 0.23273    0.09873811 ... 0.24768637 0.22392072 0.12818423],5
[0.37104305 0.         0.         ... 0.         0.         0.        ],5
[0.05535241 0.03717595 0.11428282 ... 0.02985656 0.00546909 0.05601119],7
[0.42126153 0.07211092 0.03491506 ... 0.0242101  0.03079565 0.        ],6
[0.26158505 0.03368423 0.09974443 ... 0.         0.         0.        ],5
[0.21670979 0.04495148 0.03264728 ... 0.03318853 0.22198499 0.17037828],4
[0.19962582 0.00154313 0.         ... 0.03010462 0.11771143 0.28414329],5
[0.25550763 0.28471675 0.28471675 ... 0.01918497 0.05141951 0.01783955],4
[0.1901807  0.2521023  0.31133584 ... 0.14422762 0.20491803 0.30498964],6
[0.25967823 0.04541417 0.06243183 ... 0.03718206 0.08948215 0.36261189],0
[0.27265126 0.27265126 0.147545   ... 0.00992146 0.         0.        ],4
[0.09020885 0.05907988 0.10124962 ... 0.04600415 0.14257597 0.1170253 ],0
[0.02808377 0.         0.11914933 ... 0.32888629 0.20169148 0.06045624],4
[0.26628289 0.03000302 0.08884378 ... 0.         0.         0.07786641],4
[0.07753386 0.09220613 0.11527123 ... 0.19539787 0.28341687 0.28341687],5
[0.05225517 0.03927587 0.07517212 ... 0.06390837 0.012631   0.16183751],6
[0.09990888 0.27122035 0.25896146 ... 0.24868739 0.19224996 0.        ],5
[0.16261943 0.         0.05375662 ... 0.05085056 0.07317338 0.10066065],5
[0.06432079 0.01143218 0.15679969 ... 0.00678686 0.         0.04552761],4
[0.21219619 0.27877992 0.27877992 ... 0.00105394 0.00999854 0.37161039],5
[0.20289673 0.40349568 0.40349568 ... 0.05287682 0.11233372 0.18454215],6
[0.28566207 0.         0.07360073 ... 0.         0.         0.        ],4
[0.23169534 0.17067465 0.19290059 ... 0.2699383  0.2699383  0.2699383 ],3
[0.14225888 0.         0.04142033 ... 0.         0.         0.        ],4
[0.30389501 0.06462772 0.12072363 ... 0.02208064 0.02256055 0.03230053],3
[0.07291891 0.03959093 0.02599985 ... 0.04549016 0.         0.04779718],5
[0.28243103 0.14224627 0.08364006 ... 0.12530651 0.20694511 0.25885815],5
[0.28218071 0.30424469 0.30424469 ... 0.07963089 0.06962722 0.        ],6
[0.25768847 0.23333367 0.25768847 ... 0.         0.02370868 0.        ],4
[0.13934584 0.1222326  0.03849539 ... 0.30902014 0.30902014 0.05630603],1
[0.36936567 0.03256525 0.16617362 ... 0.         0.         0.09880928],5
[0.25639586 0.03109376 0.19665417 ... 0.06913965 0.1121027  0.05213092],3
[0.12493197 0.02839503 0.06202093 ... 0.23601828 0.18957536 0.01959637],5
[0.01020049 0.         0.         ... 0.12033915 0.01785626 0.        ],1
[0.08956862 0.03600984 0.13339956 ... 0.04232117 0.20600485 0.36129483],3
[0.2260094  0.01754415 0.01190865 ... 0.01053492 0.         0.        ],4
[0.31023818 0.08148896 0.0490526  ... 0.32762359 0.         0.        ],5
[0.11831359 0.12613735 0.12520655 ... 0.28653786 0.30074903 0.01278277],5
[0.2928366  0.10556857 0.         ... 0.0458843  0.         0.        ],6
[0.02500328 0.         0.06637798 ... 0.         0.12980275 0.26987167],5
[0.23205141 0.14057791 0.09639682 ... 0.01919225 0.07845055 0.17247002],1
[0.43461575 0.0345306  0.0155778  ... 0.10604272 0.         0.11435898],6
[0.21951674 0.07876248 0.21951674 ... 0.13614524 0.1097772  0.03032361],0
[0.1458768  0.26299237 0.08295506 ... 0.16742607 0.03001686 0.        ],2
[0.20504654 0.00503348 0.02070447 ... 0.29258547 0.2523637  0.11251443],1
[0.06926597 0.         0.0061223  ... 0.00698626 0.01122728 0.4128171 ],6
[0.3803938  0.3803938  0.         ... 0.00197377 0.00697833 0.        ],5
[0.11762275 0.05590858 0.19080935 ... 0.05305137 0.01557871 0.0074641 ],5
[0.15880875 0.06894545 0.05219004 ... 0.08308556 0.16927268 0.12519001],5
[0.10448999 0.         0.19574386 ... 0.01832425 0.03867138 0.01263829],4
[0.2622951  0.2622951  0.10750245 ... 0.01261069 0.         0.        ],5
[0.01240504 0.         0.00461668 ... 0.04577241 0.09981347 0.26029958],4
[0.28260998 0.09778763 0.05901602 ... 0.04171333 0.17011465 0.14640796],4
[0.05437827 0.01193032 0.07776072 ... 0.05867046 0.17100834 0.12452506],5
[0.0804528  0.06972053 0.09809903 ... 0.00959149 0.09025152 0.06538486],4
[0.5709962  0.1241553  0.01675668 ... 0.00469591 0.09670928 0.35745804],7
[0.35045024 0.21882044 0.0719101  ... 0.         0.         0.        ],4
[0.29489701 0.08165848 0.05164536 ... 0.00384981 0.         0.38491002],4
[0.22939309 0.08215382 0.12792033 ... 0.21771297 0.15919677 0.04807839],3
[0.33962135 0.         0.         ... 0.         0.         0.        ],5
[0.35015865 0.         0.         ... 0.         0.         0.0326059 ],5
[0.         0.         0.         ... 0.38433069 0.07570025 0.        ],5
[0.10054351 0.02988174 0.04834316 ... 0.11341295 0.         0.07117667],5
[0.45259323 0.         0.21664324 ... 0.         0.         0.        ],4
[0.42620182 0.         0.         ... 0.26927694 0.26927694 0.08861081],6
[0.42014239 0.         0.         ... 0.         0.01524987 0.03012549],5
[0.31144001 0.06522591 0.01470988 ... 0.3519442  0.3519442  0.00606848],5
[0.24899391 0.14017871 0.08828117 ... 0.0045448  0.24816413 0.01481424],7
[0.28509087 0.16304069 0.00591024 ... 0.12013419 0.         0.        ],4
[0.         0.         0.         ... 0.06991939 0.14195832 0.06169268],4
[0.2941327  0.11855616 0.20093733 ... 0.10924781 0.28581005 0.12239156],1
[0.25174803 0.17661584 0.13646973 ... 0.28018766 0.21636295 0.20423224],0
[0.32759964 0.10042155 0.         ... 0.06155514 0.12327108 0.06727823],0
[0.26183997 0.04649392 0.13507009 ... 0.10913755 0.15784404 0.16486568],7
[0.35017608 0.05701519 0.         ... 0.         0.         0.        ],5
[0.18716338 0.03367852 0.09426977 ... 0.02064305 0.08851566 0.0983956 ],5
[0.24788397 0.         0.         ... 0.         0.         0.        ],4
[0.38341144 0.13481984 0.         ... 0.         0.         0.        ],4
[0.07761784 0.         0.         ... 0.04554985 0.20126698 0.35102682],4
[0.31884181 0.31884181 0.20685828 ... 0.04006053 0.19813739 0.24691194],5
[0.31749178 0.05231225 0.         ... 0.         0.06060943 0.        ],4
[0.0533524  0.15428329 0.2145621  ... 0.35530481 0.35245953 0.01554274],6
[0.1342282  0.20937777 0.31298916 ... 0.17716023 0.24731551 0.18584548],4
[0.13438954 0.29146855 0.29146855 ... 0.04526163 0.         0.33897728],4
[0.         0.         0.         ... 0.02303072 0.04298028 0.        ],5
[0.12358183 0.10239259 0.105333   ... 0.01640475 0.09164646 0.19110473],1
[0.34400813 0.         0.         ... 0.         0.0803324  0.        ],5
[0.15306207 0.04257278 0.00360344 ... 0.         0.         0.        ],4
[0.37711206 0.25525276 0.00938868 ... 0.27024411 0.27024411 0.04961578],4
[0.38555597 0.06630392 0.03721154 ... 0.         0.         0.34132508],5
[0.42568806 0.         0.         ... 0.04210932 0.06658069 0.        ],4
[0.25211749 0.09564985 0.12645475 ... 0.02854368 0.09373893 0.00978518],2
[0.25099206 0.03515676 0.         ... 0.17062105 0.03653085 0.30148721],5
[0.20638639 0.353164   0.353164   ... 0.13353784 0.12438411 0.17732483],7
[0.19859203 0.20489482 0.19592139 ... 0.21592119 0.13019268 0.16487936],7
[0.28529876 0.         0.         ... 0.16452806 0.         0.        ],4
[0.31764658 0.         0.07992155 ... 0.         0.         0.03595257],5
[0.2150109  0.02487918 0.09440983 ... 0.15159348 0.03628987 0.0049781 ],5
[0.25458476 0.25458476 0.17941485 ... 0.00377792 0.11915481 0.20121749],5
[0.23821889 0.06879587 0.07844717 ... 0.14772671 0.22106976 0.16575774],3
[0.12854838 0.25557351 0.25557351 ... 0.07373645 0.28659739 0.25752692],0
[0. 0. 0. ... 0. 0. 0.],7
[0.2748057  0.21287379 0.2748057  ... 0.06664999 0.04760494 0.01785889],5
[0.2274713  0.05877538 0.17573084 ... 0.01408364 0.04139693 0.07417327],5
[0.         0.         0.00611363 ... 0.19423893 0.09683509 0.134871  ],3
[0.36771756 0.36771756 0.24715939 ... 0.07763816 0.06052054 0.02852966],4
[0.03062707 0.         0.02021284 ... 0.23727873 0.05078494 0.02394025],5
[0.03933773 0.01146882 0.01855557 ... 0.         0.05142633 0.        ],5
[0.15052094 0.01262111 0.05039504 ... 0.04483859 0.01586359 0.05952694],6
[0.45644502 0.10035554 0.06794949 ... 0.         0.         0.14515261],5
[0.26437184 0.26437184 0.26437184 ... 0.06196808 0.05266274 0.        ],5
[0.18139959 0.25593669 0.28071127 ... 0.         0.16332722 0.16367606],3
[0.03682045 0.02389901 0.05928228 ... 0.0547565  0.12234606 0.19747929],0
[0.22010819 0.         0.04914947 ... 0.02998657 0.03759154 0.02635357],1
[0.18608018 0.28602606 0.28602606 ... 0.22992171 0.14360594 0.16043742],3
[0.14384497 0.12636626 0.05083929 ... 0.21865589 0.26255877 0.04570108],5
[0.00708167 0.         0.         ... 0.14296534 0.27797822 0.12568374],5
[0.34961913 0.23242449 0.33849347 ... 0.01875249 0.05411258 0.        ],5
[0.02746638 0.         0.01792769 ... 0.         0.02325707 0.16375254],2
[0.08870706 0.         0.         ... 0.04182905 0.03306877 0.        ],4
[0.30951372 0.02169807 0.01372307 ... 0.06496556 0.10528798 0.01273959],5
[0.33772017 0.33456216 0.05720183 ... 0.04068442 0.13379772 0.34022964],4
[0.30942523 0.06880474 0.03796327 ... 0.19007814 0.00949002 0.        ],1
[0.24298004 0.         0.03818063 ... 0.05873765 0.         0.        ],7
[0.25273443 0.14794003 0.16155772 ... 0.         0.         0.        ],1
[0.0356255  0.         0.01007641 ... 0.04995086 0.         0.        ],0
[0.18949006 0.18069628 0.11605939 ... 0.29057488 0.25544934 0.16180846],3
[0.09923821 0.08781846 0.24333471 ... 0.08604104 0.02114927 0.06831599],2
[0.26750114 0.18425504 0.04892829 ... 0.07320475 0.0925975  0.03273816],4
[0.27347346 0.04836253 0.         ... 0.         0.         0.        ],3
[0.24600311 0.06654973 0.24600311 ... 0.33550718 0.33550718 0.        ],5
[0.25828461 0.01490109 0.05582833 ... 0.0917239  0.19871883 0.10469858],5
[0.31586045 0.20012159 0.0236137  ... 0.07985581 0.00895511 0.00351248],5
[0.28514781 0.28514781 0.28514781 ... 0.01138491 0.00295476 0.        ],2
[0.09003869 0.         0.04246119 ... 0.02110237 0.04727699 0.        ],6
[0.22421645 0.1476278  0.22936215 ... 0.05505166 0.16151205 0.04896389],4
[0.28189109 0.04641248 0.10068478 ... 0.2917611  0.09192668 0.00371195],2
[0.08945032 0.02483783 0.01639019 ... 0.26632108 0.06070523 0.00887199],7
[0.        0.        0.        ... 0.        0.0461333 0.       ],5
[0.08355213 0.02085923 0.04193448 ... 0.02687829 0.05929373 0.1880994 ],5
[0.27610348 0.27610348 0.27610348 ... 0.00471357 0.09472181 0.22006562],6
[0.29404253 0.29404253 0.29404253 ... 0.01644951 0.03242956 0.14222478],4
[0.35955791 0.         0.         ... 0.024271   0.00814491 0.        ],7
[0.18017295 0.40330923 0.09852981 ... 0.02103085 0.         0.00668121],5
[0.04471955 0.01346941 0.05972446 ... 0.02489467 0.03880848 0.42039404],2
[0.33210862 0.0506942  0.25649459 ... 0.00581562 0.0072874  0.02275953],1
[0.         0.         0.         ... 0.07150695 0.0073693  0.18960766],6
[0.0980585  0.         0.         ... 0.         0.         0.15667577],4
[0.27990486 0.27990486 0.08589023 ... 0.17772639 0.         0.        ],4
[0.24671585 0.0287101  0.19324511 ... 0.05580122 0.16544717 0.03935462],1
[0.33867235 0.04361073 0.04361073 ... 0.         0.         0.        ],6
[0.32916683 0.         0.         ... 0.         0.         0.23623715],5
[0.33492175 0.30160079 0.0461874  ... 0.11008412 0.09904844 0.21728197],5
[0.31198224 0.31198224 0.23045631 ... 0.30818357 0.28613232 0.05191915],7
[0.33723761 0.         0.1234097  ... 0.         0.         0.13336244],3
[0.13564802 0.04985078 0.12058832 ... 0.12867341 0.06888642 0.05574898],4
[0.27163058 0.         0.         ... 0.         0.03227905 0.        ],4
[0.17098814 0.01115909 0.         ... 0.         0.         0.        ],4
[0.16905985 0.21825263 0.29627402 ... 0.         0.         0.        ],5
[0.33510466 0.33510466 0.00705383 ... 0.09956241 0.22285506 0.07959395],4
[0.50737624 0.50737624 0.08637312 ... 0.3024927  0.02817935 0.01716064],2
[0.02824887 0.         0.         ... 0.         0.2741588  0.        ],5
[0.35949363 0.         0.         ... 0.03774796 0.02445172 0.04360151],5
[0.09576131 0.03722531 0.         ... 0.         0.06191699 0.08950487],4
[0.08722737 0.23843489 0.23843489 ... 0.11519614 0.18326488 0.16495835],1
[0.19993142 0.07428982 0.17291721 ... 0.01159848 0.02819563 0.03056469],2
[0.29134027 0.29134027 0.29134027 ... 0.06104919 0.08378458 0.06737244],4
[0.27100846 0.         0.06567074 ... 0.00529807 0.02827544 0.26016043],6
[0.09919318 0.42504875 0.01640809 ... 0.         0.         0.        ],5
[0.07382366 0.15322536 0.2501015  ... 0.00674408 0.06184475 0.03447988],2
[0.1462374  0.03827056 0.08642205 ... 0.23348095 0.23348095 0.23348095],2
[0.18269259 0.         0.         ... 0.10790632 0.         0.        ],5
[0.12026416 0.11665381 0.06841274 ... 0.00486849 0.00623471 0.02658553],4
[0.12805725 0.         0.         ... 0.02684223 0.0424413  0.        ],2
[0.11532037 0.10149859 0.18535039 ... 0.00796125 0.         0.04370238],5
[0.28865153 0.2310211  0.00610853 ... 0.16087735 0.14565172 0.2046807 ],5
[0.13045236 0.         0.         ... 0.         0.12504205 0.11786206],3
[0.34657099 0.         0.         ... 0.         0.         0.        ],5
[0.10990767 0.02379055 0.13623642 ... 0.01051902 0.01977166 0.01348187],2
[0.04924021 0.01002544 0.0328037  ... 0.03954539 0.01844698 0.05301166],4
[0.20793776 0.02335334 0.02335334 ... 0.02875178 0.04079891 0.05548528],4
[0.33453586 0.10046642 0.24200029 ... 0.02904536 0.         0.        ],2
[0.29634922 0.20200001 0.20856304 ... 0.02571296 0.13880844 0.10319257],2
[0.24847591 0.05796243 0.05304772 ... 0.05096388 0.09266831 0.02772277],5
[0.08080212 0.2313442  0.27948878 ... 0.00466368 0.00392225 0.00731976],7
[0.3055642  0.08462543 0.02401746 ... 0.0962105  0.06585745 0.01850329],5
[0.25048475 0.07949939 0.13771451 ... 0.00297739 0.00595479 0.        ],1
[0.06169043 0.30628087 0.25070608 ... 0.04636187 0.         0.        ],5
[0.09911574 0.22940245 0.02324118 ... 0.17510911 0.11818583 0.19756583],1
[0.18938862 0.         0.04330996 ... 0.         0.         0.        ],7
[0.26590807 0.32988939 0.18419663 ... 0.25657776 0.0565617  0.        ],5
[0.38389043 0.07530776 0.04762881 ... 0.         0.         0.        ],4
[0.30122904 0.30122904 0.14173281 ... 0.00518897 0.02461342 0.00580144],4
[0.05858283 0.01779126 0.00691006 ... 0.06325029 0.03964041 0.13957537],0
[0.12766038 0.02973277 0.07080853 ... 0.22001188 0.06118931 0.12382469],1
[0.28167232 0.22334272 0.28167232 ... 0.         0.         0.        ],5
[0.29449171 0.16964494 0.05512458 ... 0.00774506 0.         0.        ],3
[0.24967154 0.1402523  0.24967154 ... 0.1344813  0.00815084 0.00458621],3
[0.         0.         0.         ... 0.07017363 0.04539856 0.        ],5
[0.3381436  0.12728232 0.         ... 0.         0.         0.        ],5
[0.15927638 0.         0.         ... 0.0843163  0.25273029 0.08802009],3
[0.03568197 0.00710805 0.01468802 ... 0.03596255 0.         0.        ],3
[0.34586777 0.04317799 0.01047983 ... 0.01749775 0.03396325 0.03426432],1
[0.0410225  0.         0.00724849 ... 0.03710701 0.11425589 0.        ],6
[0.0115707  0.         0.30925503 ... 0.07456975 0.08800613 0.04581952],5
[0.16852099 0.33395077 0.2983504  ... 0.0887956  0.27967075 0.27967075],5
[0.36368988 0.19375902 0.06368366 ... 0.01997351 0.18943717 0.09603331],4
[0.27078043 0.27078043 0.27078043 ... 0.01761878 0.01497308 0.01313226],4
[0.00957395 0.         0.         ... 0.08700892 0.08437512 0.36958127],1
[0.00961065 0.0346517  0.         ... 0.03229743 0.10973425 0.10341685],6
[0.21184073 0.07900286 0.1508373  ... 0.42953351 0.42953351 0.0664839 ],1
[0.09226202 0.00467565 0.         ... 0.02044789 0.01077699 0.        ],5
[0.23168136 0.09854234 0.10338578 ... 0.20674135 0.14588375 0.02742391],5
[0.22502787 0.28500096 0.28500096 ... 0.11042852 0.26019717 0.24493474],4
[0.17645336 0.16227744 0.25724478 ... 0.         0.06062544 0.04286866],5
[0.08144514 0.00993917 0.02973587 ... 0.         0.         0.        ],4
[0.21701502 0.10870254 0.11231095 ... 0.16203346 0.24495247 0.17133617],5
[0.25265111 0.09933417 0.25265111 ... 0.14009995 0.26211632 0.22480193],4
[0.05389218 0.         0.         ... 0.         0.25900856 0.        ],4
[0.22382628 0.22382628 0.17496596 ... 0.05607906 0.07514158 0.03209404],4
[0.31334303 0.025418   0.00940627 ... 0.08728626 0.06856763 0.02828037],0
[0.18457366 0.15357881 0.16524555 ... 0.13366278 0.31336534 0.31336534],0
[0.11306417 0.01308435 0.09678072 ... 0.08336161 0.08787085 0.13365576],5
[0.25281892 0.07445811 0.25281892 ... 0.11822542 0.17243522 0.18442588],3
[0.10961512 0.31211203 0.19888839 ... 0.09283676 0.         0.        ],4
[0.         0.         0.         ... 0.05329098 0.06478656 0.05201223],4
[0.22230999 0.02962594 0.         ... 0.         0.         0.        ],5
[0.28092161 0.12018764 0.16232656 ... 0.04966015 0.22056415 0.1363481 ],6
[0.22437702 0.09639141 0.00304868 ... 0.05382993 0.13023841 0.29772604],4
[0.27738584 0.03424778 0.06775135 ... 0.         0.         0.        ],4
[0.24963256 0.31534452 0.31534452 ... 0.01674385 0.06030773 0.18984172],5
[0.05968499 0.08903952 0.37111809 ... 0.25393331 0.08002307 0.07013715],2
[0.2863121  0.01057582 0.05775425 ... 0.44214747 0.44214747 0.        ],4
[0.         0.         0.         ... 0.05634343 0.         0.03136662],5
[0.05139579 0.04917139 0.06805496 ... 0.10104223 0.38686317 0.14323674],2
[0.31969841 0.31969841 0.13628549 ... 0.02222623 0.01757138 0.02862485],4
[0.21414049 0.16514889 0.12269685 ... 0.28023047 0.03520193 0.06973136],4
[0.16834113 0.06295421 0.03967838 ... 0.16156594 0.24846048 0.15664995],5
[0.2509166  0.17799632 0.15708626 ... 0.30916898 0.34879623 0.06409565],4
[0.2851981  0.06054858 0.02444138 ... 0.34016299 0.1535332  0.01212302],5
[0.34634278 0.         0.01089235 ... 0.         0.01922292 0.40001995],5
[0.05890905 0.0941634  0.18273324 ... 0.04182015 0.09650549 0.27768884],7
[0.41882225 0.04302209 0.         ... 0.0662968  0.         0.        ],6
[0.11488303 0.01957008 0.04818858 ... 0.02535532 0.01844307 0.01808212],3
[0.         0.         0.         ... 0.03690811 0.09058303 0.0150212 ],5
[0.31907323 0.10059867 0.22583466 ... 0.         0.         0.        ],1
[0.35110713 0.13968833 0.         ... 0.20057244 0.         0.        ],4
[0.2698137  0.06608962 0.12912197 ... 0.02003132 0.01719083 0.01037638],1
[0.17146147 0.         0.         ... 0.18021187 0.         0.        ],4
[0.09687558 0.01083102 0.         ... 0.         0.         0.        ],5
[0.25659253 0.25659253 0.25659253 ... 0.         0.09809044 0.27140015],2
[0.29198744 0.29198744 0.14684516 ... 0.00882184 0.00209098 0.04142095],5
[0.25247429 0.09675974 0.03477933 ... 0.0468518  0.05069423 0.        ],0
[0.46660121 0.35750387 0.03435027 ... 0.01356338 0.04289117 0.        ],5
[0.13657822 0.         0.         ... 0.01322156 0.         0.02956431],4
[0.24193092 0.25632996 0.25632996 ... 0.14539501 0.1110873  0.18733465],1
[0.00520022 0.         0.         ... 0.253041   0.02046844 0.19328345],3
[0.19563177 0.19326586 0.11475991 ... 0.14405199 0.12622309 0.01062116],1
[0.37780259 0.         0.         ... 0.         0.         0.        ],4
[0.34539266 0.04236292 0.00557928 ... 0.31970217 0.01698201 0.02960113],0
[0.04552785 0.20509145 0.04728842 ... 0.06982066 0.10836885 0.02273948],0
[0.13735224 0.09519316 0.22254372 ... 0.02747141 0.04136366 0.01489847],7
[0.32930092 0.17034205 0.16629621 ... 0.10292776 0.21302808 0.02934027],4
[0.34432953 0.02500835 0.09241645 ... 0.         0.         0.        ],5
[0.08004722 0.39486448 0.39486448 ... 0.0059571  0.01883799 0.02664094],7
[0.00470295 0.         0.         ... 0.25427094 0.22612073 0.04062365],0
[0.24691909 0.08074693 0.09325577 ... 0.17830537 0.07486367 0.03731662],4
[0.31067252 0.09437976 0.01299038 ... 0.06128574 0.26805264 0.18831403],5
[0.20205332 0.         0.         ... 0.         0.01572772 0.41273234],7
[0.06347424 0.         0.         ... 0.01527679 0.01207736 0.18156416],7
[0.2406019  0.16054396 0.06737184 ... 0.         0.00415995 0.27781098],4
[0.35122384 0.         0.         ... 0.         0.         0.12645228],5
[0.07597514 0.044942   0.05602424 ... 0.01754094 0.05134427 0.10250081],5
[0.131793   0.         0.02356902 ... 0.03935597 0.09110768 0.08585002],5
[0.19247201 0.03243216 0.02002138 ... 0.         0.         0.        ],0
[0.0868462  0.32251792 0.32251792 ... 0.35621214 0.35621214 0.04817068],2
[0.25171882 0.         0.         ... 0.         0.         0.        ],0
[0.06326951 0.         0.         ... 0.         0.         0.        ],1
[0.23936929 0.16153504 0.23936929 ... 0.26039424 0.29855619 0.14001523],4
[0.12337059 0.09738191 0.12430442 ... 0.1946797  0.05181206 0.09352811],2
[0.24528794 0.16933932 0.04472851 ... 0.         0.00703904 0.06248138],4
[0.         0.         0.         ... 0.01099451 0.04188908 0.16428136],5
[0.10456603 0.02315525 0.03418196 ... 0.         0.         0.01176525],5
[0.2023391  0.09659489 0.06423052 ... 0.02284352 0.03285778 0.33328446],5
[0.09259362 0.00706735 0.05895478 ... 0.         0.01214359 0.01804273],2
[0.3235645  0.3235645  0.11183027 ... 0.1627877  0.17303295 0.179396  ],6
[0.30584218 0.12421392 0.00440087 ... 0.34594479 0.32023842 0.04838331],4
[0.05109856 0.         0.01826484 ... 0.         0.07143965 0.31187594],4
[0.41527241 0.07470495 0.04997437 ... 0.         0.12521398 0.35533513],4
[0.09449245 0.         0.01113604 ... 0.03613937 0.37945296 0.18283156],7
[0.16451987 0.         0.         ... 0.         0.         0.1676704 ],0
[0.04239566 0.         0.01980694 ... 0.         0.         0.        ],3
[0.45489545 0.11170384 0.         ... 0.01608876 0.48424365 0.12334899],5
[0.13271934 0.02024034 0.09024158 ... 0.04275622 0.05885913 0.11395516],3
[0.35639375 0.         0.         ... 0.         0.         0.        ],5
[0.1850039  0.26114217 0.22650312 ... 0.07829867 0.12754405 0.13945394],0
[0.17896986 0.05408997 0.24416934 ... 0.         0.         0.        ],7
[0.36735138 0.01798574 0.02504033 ... 0.06628078 0.02612486 0.083755  ],4
[0.3876073  0.08265493 0.1568267  ... 0.30910393 0.30910393 0.09907533],6
[0.20800542 0.05212859 0.04991696 ... 0.0577602  0.41474641 0.20050354],4
[0.36847745 0.36847745 0.36847745 ... 0.07009992 0.01769681 0.03104226],5
[0.23634627 0.24860822 0.0837971  ... 0.         0.01420958 0.31406969],4
[0.34475008 0.         0.03383702 ... 0.         0.         0.        ],5
[0.07886935 0.02375731 0.00234468 ... 0.17187415 0.25212901 0.12413365],4
[0.33666291 0.         0.         ... 0.00310771 0.00817967 0.39759124],5
[0.00669687 0.         0.         ... 0.29631345 0.14750769 0.        ],2
[0.06897118 0.         0.02407052 ... 0.07946784 0.12174711 0.23539445],5
[0.22348421 0.22348421 0.08829832 ... 0.02871582 0.11101473 0.23659998],4
[0.21928365 0.08067421 0.03981788 ... 0.         0.06503671 0.27202909],1
[0.05222745 0.06675443 0.07941466 ... 0.18765864 0.28255443 0.24852511],5
[0.10237385 0.21652218 0.37576261 ... 0.01015325 0.03057899 0.22034664],5
[0.18216253 0.00315452 0.01107179 ... 0.         0.         0.01159796],4
[0.1213327  0.10869161 0.10852844 ... 0.04417281 0.02328112 0.        ],4
[0.17084097 0.         0.         ... 0.02721577 0.         0.        ],6
[0.19756002 0.14199331 0.26618284 ... 0.05581886 0.14459725 0.12267736],5
[0.2170827  0.04045097 0.07098778 ... 0.01908438 0.07326662 0.35009919],0
[0.38522517 0.         0.         ... 0.33324077 0.         0.04835505],1
[0.27124116 0.         0.         ... 0.13868123 0.1380731  0.14451651],5
[0.13986137 0.         0.         ... 0.0689614  0.05888843 0.05948022],4
[0.29410518 0.04520401 0.         ... 0.25286605 0.         0.        ],5
[0.31010147 0.1866575  0.11622454 ... 0.31031262 0.         0.        ],5
[0.19614166 0.10641494 0.14071863 ... 0.14894006 0.19913418 0.05361527],2
[0.04776816 0.         0.0047131  ... 0.02163219 0.01710175 0.        ],7
[0.26019011 0.06018166 0.0292935  ... 0.00599526 0.         0.        ],5
[0.28736002 0.28736002 0.2282544  ... 0.02822815 0.01115816 0.03635464],5
[0.11744306 0.0631664  0.13012634 ... 0.0531546  0.         0.02116438],5
[0.21654238 0.13719004 0.10121677 ... 0.09318392 0.11732633 0.20891643],4
[0.10203856 0.         0.         ... 0.07290679 0.33173809 0.11658249],0
[0.43669545 0.12944283 0.00441196 ... 0.04543598 0.1453884  0.10844738],4
