,image,emotion,mouth_distance,average_distance
4404,Tirunesh_Dibaba_0001.jpg,1,-14.0,75.42282771930837
4649,Vince_Vaughan_0001.jpg,0,-24.0,81.03402090019101
1130,Donald_Rumsfeld_0051.jpg,1,-7.333333333333333,67.8324138994959
1400,Gary_Gitnick_0001.jpg,0,-2.6666666666666665,63.134538403684935
2357,John_Ashcroft_0005.jpg,2,-8.666666666666666,77.43876501462054
2244,Jerome_Jenkins_0001.jpg,1,-2.0,53.07816427205589
4029,Saddam_Hussein_0012.jpg,0,-13.333333333333334,59.06567806484164
2597,Kaio_Almeida_0001.jpg,0,-21.333333333333332,81.34911309099836
2605,Karen_Mok_0002.jpg,0,-26.0,75.74569603038861
481,Bill_Gates_0015.jpg,1,-22.666666666666668,68.32170302185266
425,Benjamin_Bratt_0001.jpg,0,-13.333333333333334,70.52351966017801
4308,Taha_Yassin_Ramadan_0004.jpg,1,-3.0,56.162860223746705
1829,Henry_Hyde_0001.jpg,0,-10.333333333333334,67.8339426218637
3482,Norio_Ohga_0001.jpg,0,-19.0,82.57981485689653
353,Arnold_Schwarzenegger_0005.jpg,0,-4.333333333333333,61.30653947179632
1135,Donald_Rumsfeld_0059.jpg,1,-13.0,70.63783337178602
4233,Stacy_Nelson_0001.jpg,0,-21.0,60.81539725474622
4666,Vladimir_Putin_0043.jpg,4,-1.6666666666666667,69.62917720567363
4272,Steve_Park_0002.jpg,1,20.333333333333332,68.38406702469057
641,Carlos_Moya_0004.jpg,0,-16.666666666666668,62.85368610035043
577,Britney_Spears_0001.jpg,0,-33.0,91.79999321527895
3362,Naomi_Campbell_0002.jpg,1,-1.6666666666666667,74.53026196181578
3248,Mick_Jagger_0001.jpg,1,-21.666666666666668,70.8506534560953
1288,Ernest_Hollings_0001.jpg,1,-13.0,74.04546701264776
3611,Pedro_Pauleta_0001.jpg,0,-22.0,66.66192691484397
4732,Winona_Ryder_0015.jpg,1,-3.0,63.189781843362645
4333,Tara_VanDerveer_0001.jpg,0,-31.333333333333332,74.03877251575783
4388,Tim_Curley_0001.jpg,1,-9.333333333333334,74.51394547958292
232,Andy_Roddick_0007.jpg,1,-6.0,55.118278764664254
2376,John_Ashcroft_0049.jpg,1,-13.333333333333334,81.75837099877727
781,Chuck_Woolery_0001.jpg,0,0.0,66.4425907330667
4466,Tom_Ridge_0031.jpg,1,-21.0,75.2171021560084
3238,Michelle_Lecky_0001.jpg,0,-28.0,81.76026358012821
1201,Eduardo_Duhalde_0006.jpg,0,-14.666666666666666,56.75977576883756
3897,Robert_Gallo_0001.jpg,1,-10.333333333333334,68.84299624135986
2909,Lleyton_Hewitt_0028.jpg,1,-5.333333333333333,45.33589793826205
1317,Fayssal_Mekdad_0002.jpg,1,-17.0,65.6639894886911
3227,Michael_Winterbottom_0001.jpg,0,-18.333333333333332,67.13236743766352
2277,Jimmy_Carter_0006.jpg,0,-26.0,78.16765790411358
3113,Matthew_Broderick_0003.jpg,0,-6.0,69.01132153494815
2356,John_Ashcroft_0004.jpg,0,-28.666666666666668,76.046886147518
3777,Recep_Tayyip_Erdogan_0012.jpg,0,-13.666666666666666,70.11838265751138
4159,Sharon_Frey_0001.jpg,0,-21.666666666666668,74.01094677285606
294,Antonio_Banderas_0005.jpg,1,-7.666666666666667,70.2353880307777
601,Bulent_Ecevit_0006.jpg,1,-2.3333333333333335,64.14342607778713
4203,Silvio_Berlusconi_0023.jpg,0,-0.3333333333333333,56.30471387457955
2883,Lionel_Richie_0001.jpg,0,-32.666666666666664,88.93004910162816
3193,Michael_Deutsch_0001.jpg,0,-25.333333333333332,74.63647771852831
1102,Dieter_Zetsche_0001.jpg,1,5.333333333333333,69.61961185378212
1192,Edmund_Stoiber_0002.jpg,1,-2.0,65.9266428072438
2608,Karol_Kucera_0001.jpg,0,-14.666666666666666,80.96408303818758
1629,Gerry_Adams_0004.jpg,1,-3.0,56.955333680016956
3481,Norbert_van_Heyst_0001.jpg,0,-24.333333333333332,81.11300268238286
2550,Julianne_Moore_0005.jpg,0,-36.666666666666664,83.14294528828691
2828,Leonardo_DiCaprio_0003.jpg,1,-1.0,53.810326651352526
1082,Diane_Green_0001.jpg,1,-35.666666666666664,90.27655510365956
1787,Hans_Blix_0033.jpg,1,-7.0,56.54583872543256
1155,Donald_Rumsfeld_0111.jpg,1,-0.6666666666666666,70.95068862430426
1694,Gregorio_Honasan_0001.jpg,1,-10.666666666666666,70.77285446458792
3368,Naomi_Watts_0009.jpg,0,-24.333333333333332,72.54483907536489
3581,Paul_ONeill_0001.jpg,1,-1.0,64.99604226705364
4435,Tom_Coverdale_0002.jpg,1,0.0,51.673024174472694
3391,Natanaela_Barnova_0001.jpg,0,-21.0,66.81955508065337
2981,Mahathir_Mohamad_0009.jpg,0,-24.0,80.60140778991558
1381,Fred_Thompson_0002.jpg,1,-11.666666666666666,74.14259763278478
2986,Mahima_Chaudhari_0001.jpg,0,-13.0,74.6854317191289
2305,JK_Rowling_0003.jpg,0,-18.0,70.13052586028033
3672,Pierce_Brosnan_0011.jpg,0,-23.666666666666668,74.05796061965161
3849,Rich_Brooks_0001.jpg,1,-8.666666666666666,78.90454161105818
2353,John_Abizaid_0009.jpg,1,-18.333333333333332,68.05033883763515
61,Alan_Jackson_0001.jpg,0,-42.333333333333336,79.2033061877638
436,Ben_Howland_0003.jpg,1,-5.666666666666667,64.47976030987844
5,Abdel_Nasser_Assidi_0001.jpg,1,-8.666666666666666,59.177217937626736
659,Carmen_Electra_0006.jpg,0,-11.333333333333334,73.33574053011495
3763,Ray_Romano_0004.jpg,0,-32.333333333333336,81.18564792539223
3671,Pierce_Brosnan_0002.jpg,1,0.6666666666666666,71.79452128956103
3793,Renee_Zellweger_0006.jpg,0,-22.666666666666668,78.92874069226264
980,Dan_Snyder_0001.jpg,0,-30.333333333333332,76.93246403496607
3203,Michael_Jordan_0004.jpg,1,-10.333333333333334,64.0728830517291
4142,Serge_Tchuruk_0001.jpg,1,-12.666666666666666,70.11351553412248
2042,James_Kirtley_0001.jpg,0,-43.0,92.96929023788252
111,Alex_Holmes_0001.jpg,0,-28.0,76.95388707072644
4262,Steve_Ballmer_0002.jpg,1,-22.333333333333332,72.23700060256766
3082,Martin_Frost_0001.jpg,1,-19.666666666666668,72.87506788354398
2091,Jan_Ullrich_0002.jpg,3,-33.0,84.37612488036523
3571,Paul_Greengrass_0001.jpg,0,-36.0,69.9973816242869
1944,Irene_Kahn_0001.jpg,1,-16.333333333333332,67.4440047122522
3085,Martin_Lawrence_0001.jpg,1,-5.333333333333333,69.6126361923398
3459,Nicole_Kidman_0016.jpg,0,-29.666666666666668,77.7522293542132
1687,Graciano_Rocchigiani_0001.jpg,1,-14.666666666666666,66.77214262805911
444,Bernard_Lord_0001.jpg,1,-12.666666666666666,59.29159731454978
1686,Grace_Kelly_0001.jpg,0,-21.0,74.18986036260506
4391,Tim_Floyd_0001.jpg,1,-11.666666666666666,78.8622051736083
4289,Susilo_Bambang_Yudhoyono_0002.jpg,1,-9.0,69.0659334074292
4163,Sharon_Stone_0003.jpg,0,-4.333333333333333,51.79481076464445
2582,Junichiro_Koizumi_0042.jpg,1,-1.6666666666666667,75.55832550839925
1100,Diego_Diego_Lerman_0001.jpg,1,-4.0,62.913017684082256
3654,Pete_Sampras_0020.jpg,0,-29.0,78.43625367776983
2484,Joseph_Biden_0003.jpg,1,-10.333333333333334,74.3648131344788
3323,Mohammed_Salmane_0001.jpg,1,-9.333333333333334,70.72094449043632
1979,Jacob_Frenkel_0001.jpg,0,-21.0,78.03699160541447
3479,Norah_Jones_0014.jpg,0,-3.3333333333333335,55.592767477863084
1873,Hugo_Chavez_0008.jpg,0,-27.666666666666668,74.4666227106069
2458,Jonathan_Edwards_0004.jpg,0,-0.6666666666666666,59.003185211070615
4318,Taku_Yamasaki_0001.jpg,1,0.6666666666666666,70.4235962957368
1183,Du_Qinglin_0001.jpg,0,-16.0,72.00317328887539
521,Bob_Holden_0001.jpg,1,2.6666666666666665,61.836348505873076
1620,Gerhard_Schroeder_0088.jpg,3,-41.666666666666664,93.43883192451993
537,Bode_Miller_0002.jpg,0,-24.333333333333332,79.99038112588512
1607,Gerhard_Schroeder_0042.jpg,0,-17.0,74.91288192889613
2380,John_Bolton_0009.jpg,1,-10.0,64.42871788714498
3658,Pham_Thi_Mai_Phuong_0001.jpg,0,-32.666666666666664,73.14717856372802
3882,Robert_Blackwill_0002.jpg,0,-16.0,64.17164651357307
1128,Donald_Rumsfeld_0044.jpg,1,-14.666666666666666,79.21482251154977
4693,Wen_Jiabao_0008.jpg,0,-11.666666666666666,69.94199431817877
1875,Hugo_Chavez_0031.jpg,1,-5.333333333333333,68.52941176470588
1295,Erwin_Mapasseng_0001.jpg,1,-20.0,81.84157542996182
4735,Win_Aung_0002.jpg,1,-4.666666666666667,68.72081481817105
1327,Felix_Doh_0001.jpg,1,3.0,58.08266168346018
3781,Recep_Tayyip_Erdogan_0019.jpg,0,-8.0,62.39140219192103
2591,Justin_Gatlin_0001.jpg,4,-0.3333333333333333,61.24807920157459
3756,Raul_Mondesi_0001.jpg,0,-35.666666666666664,81.9403213502106
3405,Nestor_Kirchner_0001.jpg,0,-8.666666666666666,74.18538279716056
75,Alec_Baldwin_0002.jpg,0,-16.333333333333332,77.95452854556459
155,Alvaro_Uribe_0017.jpg,1,-2.0,63.44429380925455
2097,Jason_Jennings_0002.jpg,0,3.0,49.5070859281116
1588,Gerardo_Gambala_0002.jpg,1,-0.3333333333333333,67.13947839254882
1505,George_W_Bush_0258.jpg,1,23.0,61.32231625263544
4606,Venus_Williams_0002.jpg,0,-29.666666666666668,85.23089949292863
3260,Mike_Matthews_0001.jpg,1,-3.0,59.19111618557399
3665,Phil_Donahue_0001.jpg,1,-19.333333333333332,77.9247263439439
1098,Dick_Vermeil_0002.jpg,3,-15.0,68.54332886959861
2688,Kim_Jong-Il_0003.jpg,1,-1.3333333333333333,57.65207998840648
1570,George_W_Bush_0490.jpg,0,-8.333333333333334,67.61368102382605
3255,Mike_Alden_0001.jpg,1,-3.6666666666666665,74.31556936121103
3438,Nicholas_Tse_0002.jpg,1,-1.3333333333333333,59.45182472950531
1182,Dustin_Hoffman_0001.jpg,1,12.0,66.05016213973379
3666,Phil_Gramm_0001.jpg,1,-1.3333333333333333,63.01577835589519
1027,David_Nalbandian_0011.jpg,0,-12.333333333333334,66.5061347561833
4661,Vladimir_Putin_0028.jpg,1,-2.3333333333333335,68.64986416214506
2010,Jafar_Umar_Thalib_0001.jpg,0,-23.666666666666668,78.92215214130896
2710,Kit_Bond_0001.jpg,0,-29.666666666666668,71.32786069322887
3230,Michele_Placido_0001.jpg,0,-31.0,72.41054766741384
1264,Emmit_Smith_0001.jpg,1,-5.0,58.44431443068997
4010,Rupert_Grint_0002.jpg,1,-3.3333333333333335,72.93858065826966
3792,Renee_Zellweger_0005.jpg,0,-36.0,85.98554059864674
4246,Steffi_Graf_0005.jpg,0,-18.0,70.48765659201553
2648,Kemal_Dervis_0003.jpg,1,-4.333333333333333,55.076829791944235
1806,Heather_Locklear_0001.jpg,0,-21.666666666666668,70.35990337870147
2498,Jose_Manuel_Durao_Barroso_0005.jpg,1,-7.333333333333333,61.83185600444981
2255,Jesse_Helms_0001.jpg,0,-22.666666666666668,74.3937739818759
3735,Ralf_Schumacher_0002.jpg,1,1.0,43.40890762557466
3668,Phil_Morris_0001.jpg,1,-7.0,55.8819756179212
504,Bixente_LIzarazu_0001.jpg,0,-18.0,69.8408627328331
1636,Gian_Marco_0002.jpg,0,-26.0,81.14011600685282
2899,Lleyton_Hewitt_0006.jpg,2,-9.333333333333334,74.60644435832866
4198,Silvio_Berlusconi_0012.jpg,1,-7.0,74.4743633463741
369,Asa_Hutchinson_0002.jpg,1,-9.333333333333334,71.41365439887583
2139,Jean-Sebastien_Giguere_0002.jpg,1,-10.666666666666666,78.99690792643543
964,Daniel_Day-Lewis_0003.jpg,1,1.3333333333333333,68.63438217799455
4196,Silvio_Berlusconi_0010.jpg,1,-7.0,71.32509094712684
4647,Vince_Dooley_0001.jpg,1,-4.666666666666667,74.56873266325142
4794,Zurab_Tsereteli_0001.jpg,0,-4.333333333333333,66.593015833385
1386,Fujio_Mitarai_0001.jpg,0,1.0,64.87195432910518
529,Bob_Melvin_0001.jpg,0,-1.0,59.37916985904053
3327,Monica_Lewinsky_0001.jpg,0,-41.333333333333336,86.31315826064609
3861,Rick_Santorum_0002.jpg,1,-0.3333333333333333,68.00629200739559
4605,Vassilis_Xiros_0001.jpg,1,2.0,61.096754128610655
2546,Julianna_Margulies_0002.jpg,0,0.0,69.71156746486413
707,Charles_Kartman_0002.jpg,0,-19.333333333333332,70.90817811214296
841,Colin_Powell_0083.jpg,1,0.6666666666666666,77.74149365454807
2100,Jason_Kidd_0010.jpg,0,-6.333333333333333,65.09021055719995
2884,Lisa_Girman_0001.jpg,0,-16.333333333333332,71.58527623301039
3175,Michael_Arif_0001.jpg,1,-5.333333333333333,52.627726075739915
2529,Juan_Ignacio_Chela_0003.jpg,0,-29.333333333333332,84.79128787794178
4035,Sadie_Frost_0001.jpg,1,-12.666666666666666,69.74549941452362
2506,Jose_Maria_Aznar_0016.jpg,1,-5.0,66.04255240656364
213,Andre_Agassi_0001.jpg,1,-2.0,59.44454905005762
3844,Richard_Virenque_0001.jpg,0,-29.666666666666668,78.32055973915578
1667,Gloria_Macapagal_Arroyo_0029.jpg,0,-10.666666666666666,57.2890216963112
3866,Rita_Moreno_0001.jpg,0,-37.666666666666664,92.4815760666129
1350,Francisco_Flores_0004.jpg,0,-24.333333333333332,74.29726281126159
4563,Trevor_Watson_0001.jpg,1,-12.333333333333334,72.07885075834382
2292,Jim_Otto_0001.jpg,0,-23.666666666666668,81.68609345122216
1180,Dule_Hill_0001.jpg,0,-30.666666666666668,86.93334060843722
1860,Horst_Koehler_0001.jpg,1,-5.333333333333333,64.68705942798331
3286,Mikulas_Dzurinda_0001.jpg,1,0.0,58.69533273417135
703,Chan_Gailey_0003.jpg,1,-7.0,74.66562862934938
688,Celine_Dion_0001.jpg,0,-3.3333333333333335,76.38003971672198
4667,Vladimir_Putin_0045.jpg,1,-3.3333333333333335,90.82530095803507
4103,Sebastien_Grosjean_0003.jpg,1,-11.666666666666666,79.67435479135483
2411,John_Manley_0004.jpg,0,-26.666666666666668,64.36368404255161
3091,Martin_Sheen_0001.jpg,1,-9.0,83.61237206882592
170,Al_Gore_0006.jpg,1,-6.0,72.672383356872
382,Astrid_Betancourt_0001.jpg,1,-12.0,77.6731253595102
348,Arminio_Fraga_0006.jpg,1,-4.0,65.22933325548419
4382,Tiger_Woods_0023.jpg,4,-12.0,80.89535858003465
4574,T_Boone_Pickens_0001.jpg,0,-46.333333333333336,96.77150543783993
4239,Stan_Kroenke_0001.jpg,1,-3.0,67.71213781344107
2008,Jada_Pinkett_Smith_0001.jpg,0,-32.333333333333336,79.04558411772356
2038,James_Kelly_0003.jpg,1,-9.0,71.61160138753496
2801,Laurence_Tribe_0001.jpg,0,-21.0,70.43502060784594
822,Colin_Powell_0025.jpg,1,-2.0,73.45602955882325
2782,Laura_Bush_0015.jpg,0,-19.333333333333332,68.14092422056818
4489,Tony_Blair_0032.jpg,1,-9.0,66.48874849529496
3251,Miguel_Aldana_Ibarra_0001.jpg,0,-13.666666666666666,57.889669925497465
1234,Elizabeth_Pena_0001.jpg,1,-2.0,70.9004141622156
3218,Michael_Richards_0001.jpg,0,0.0,63.04983234023297
1478,George_W_Bush_0163.jpg,4,-3.3333333333333335,56.717677105059344
807,Coleen_Rowley_0001.jpg,1,-9.666666666666666,62.52191311354094
1817,Heizo_Takenaka_0004.jpg,1,-8.0,63.101268707188034
3345,Nadia_Forte_0001.jpg,0,-32.666666666666664,80.58106988325117
2115,Jayson_Williams_0003.jpg,1,-0.3333333333333333,61.915594753684005
932,Courtney_Cox_0001.jpg,0,-5.666666666666667,68.34536792357618
1440,George_W_Bush_0006.jpg,0,-22.0,73.75668698790997
2647,Kemal_Dervis_0001.jpg,1,-8.333333333333334,65.384373893775
2589,Justine_Pasek_0004.jpg,0,-25.333333333333332,84.80328983670402
2455,Jonathan_Edwards_0001.jpg,0,-30.666666666666668,77.94312012004937
2294,Jim_Talent_0001.jpg,2,-18.0,80.55674835718206
3240,Michelle_Rodriguez_0001.jpg,0,-40.0,87.69008147603328
401,Barbara_Bodine_0001.jpg,1,-1.3333333333333333,60.589966423013216
262,Anna_Kournikova_0012.jpg,0,-31.333333333333332,78.73538201230015
3625,Pervez_Musharraf_0012.jpg,1,-2.0,64.62535430220187
2728,Kristanna_Loken_0001.jpg,0,-3.0,64.57454920357006
1316,Fayssal_Mekdad_0001.jpg,1,-4.0,51.78459886810746
2198,Jennifer_Garner_0005.jpg,0,-5.0,72.05846338445414
4351,Terrence_Kiel_0001.jpg,0,-44.333333333333336,81.02049433155851
2875,Lindsay_Davenport_0008.jpg,1,-4.666666666666667,50.516313443039685
2242,Jeremy_Shockey_0002.jpg,0,-13.333333333333334,70.7166112051901
765,Christopher_Russell_0001.jpg,0,-3.6666666666666665,59.357781604640685
1760,Hamid_Karzai_0011.jpg,0,-5.0,61.28432588040694
4775,Yuri_Luzhkov_0001.jpg,1,-10.0,73.3495358660483
2690,Kim_Ryong-sung_0001.jpg,0,-19.333333333333332,72.50584333927232
73,Albrecht_Mentz_0001.jpg,1,-11.333333333333334,65.12232301613095
2939,Luis_Guzman_0001.jpg,1,-2.3333333333333335,59.93630197232432
3681,Porter_Goss_0001.jpg,1,-12.0,75.50299181725451
3704,Qais_al-Kazali_0001.jpg,1,-11.0,61.69302738582117
1238,Elizabeth_Taylor_0001.jpg,0,-12.0,66.67418876969471
3044,Mario_Puzo_0001.jpg,1,-10.0,61.5506391934406
2592,Justin_Gatlin_0002.jpg,0,-25.666666666666668,71.2764641558527
1303,Evan_Rachel_Wood_0003.jpg,0,-3.6666666666666665,59.214803468617454
1517,George_W_Bush_0313.jpg,2,-37.0,83.9608575798052
4049,Salma_Hayek_0011.jpg,1,-21.666666666666668,70.68216330406533
4135,Sergey_Lavrov_0005.jpg,1,-0.6666666666666666,75.83630756427095
3060,Mark_Mulder_0001.jpg,0,-19.0,72.60499496672145
4296,Svetlana_Koroleva_0001.jpg,0,-18.666666666666668,66.77533117058408
2467,Jorge_Arce_0001.jpg,1,1.0,74.05076931393866
1459,George_W_Bush_0084.jpg,1,-13.0,72.71171509537322
3472,Noor_Mohammed_0001.jpg,1,-5.666666666666667,64.0842212521523
3441,Nick_Nolte_0002.jpg,0,-27.0,85.51259291304878
4207,Silvio_Fernandez_0002.jpg,0,-18.666666666666668,68.91431449426551
743,Choi_Sung-hong_0003.jpg,0,-13.666666666666666,73.04968802407868
3783,Recep_Tayyip_Erdogan_0022.jpg,1,-20.333333333333332,72.12970853220729
1936,Ilham_Aliev_0001.jpg,1,-9.333333333333334,62.6760116746939
3500,Orlando_Bloom_0001.jpg,0,-1.0,60.96914990783806
389,Atal_Bihari_Vajpayee_0016.jpg,1,-8.333333333333334,53.09033929348708
447,Betsy_Smith_0001.jpg,0,-42.0,74.74849699337216
753,Christina_Aguilera_0003.jpg,0,-0.3333333333333333,70.39277472556407
380,Asmaa_Assad_0001.jpg,1,-3.0,73.32133647413241
2026,James_Carville_0001.jpg,3,-40.333333333333336,90.07212723998657
2349,Johnson_Panjaitan_0001.jpg,1,-0.6666666666666666,62.628644421511495
