,image,emotion
3630,Paul_William_Hurley_0002.jpg,NEUTRAL
3943,Robert_Redford_0005.jpg,HAPPINESS
722,Charles_Taylor_0003.jpg,NEUTRAL
2192,Jennifer_Aniston_0015.jpg,HAPPINESS
4649,Venus_Williams_0009.jpg,SADNESS
369,Arthur_Martinez_0001.jpg,NEUTRAL
2851,Leonid_Kuchma_0006.jpg,NEUTRAL
2039,James_Cameron_0002.jpg,NEUTRAL
2806,Laura_Bush_0035.jpg,HAPPINESS
4671,Vicente_Fox_0024.jpg,NEUTRAL
2366,John_Abizaid_0002.jpg,NEUTRAL
537,Bob_Stoops_0006.jpg,NEUTRAL
2131,Jay_Garner_0001.jpg,NEUTRAL
4714,Walter_Mondale_0005.jpg,HAPPINESS
3795,Ray_Romano_0006.jpg,HAPPINESS
1306,Erwin_Abdullah_0001.jpg,HAPPINESS
2336,Joe_Calzaghe_0002.jpg,NEUTRAL
486,Bill_Gates_0017.jpg,NEUTRAL
539,Bob_Taft_0001.jpg,NEUTRAL
2627,Kate_Hudson_0004.jpg,HAPPINESS
1793,Hans_Blix_0018.jpg,HAPPINESS
4076,Salman_Rushdie_0002.jpg,NEUTRAL
2096,Jane_Kaczmarek_0002.jpg,HAPPINESS
2898,Lino_Oviedo_0003.jpg,HAPPINESS
1402,Gabrielle_Rose_0001.jpg,HAPPINESS
2968,Luiz_Inacio_Lula_da_Silva_0023.jpg,SURPRISE
676,Carrie-Anne_Moss_0004.jpg,HAPPINESS
2062,James_Maguire_0002.jpg,NEUTRAL
3242,Michael_Rolinee_0001.jpg,NEUTRAL
560,Brenda_Magana_0001.jpg,HAPPINESS
4737,Wilbert_Foy_0001.jpg,NEUTRAL
4335,Sylvester_Stallone_0004.jpg,NEUTRAL
3120,Mary_Carey_0003.jpg,HAPPINESS
736,Chen_Liang_Yu_0001.jpg,HAPPINESS
1702,Graciano_Rocchigiani_0001.jpg,NEUTRAL
1603,Gerard_Depardieu_0001.jpg,NEUTRAL
3394,Naomi_Watts_0009.jpg,HAPPINESS
1281,Eric_Bana_0001.jpg,NEUTRAL
1144,Donald_Rumsfeld_0057.jpg,NEUTRAL
2068,James_Parker_0002.jpg,SURPRISE
1376,Frank_Bell_0001.jpg,NEUTRAL
3423,Nate_Hybl_0001.jpg,HAPPINESS
509,BJ_Habibie_0001.jpg,HAPPINESS
3876,Richard_Virenque_0001.jpg,HAPPINESS
3976,Roger_Moore_0004.jpg,HAPPINESS
2951,Luis_Ernesto_Derbez_Bautista_0003.jpg,HAPPINESS
2935,Lloyd_Ward_0001.jpg,NEUTRAL
956,Daisy_Fuentes_0001.jpg,HAPPINESS
97,Alejandro_Toledo_0032.jpg,HAPPINESS
2698,Kim_Dae-jung_0007.jpg,HAPPINESS
1066,Dennis_Archer_0001.jpg,HAPPINESS
2382,John_Ashcroft_0032.jpg,NEUTRAL
1333,Felicity_Huffman_0001.jpg,HAPPINESS
1627,Gerhard_Schroeder_0076.jpg,HAPPINESS
2446,John_Paul_II_0010.jpg,NEUTRAL
655,Carlos_Ruiz_0002.jpg,HAPPINESS
264,Anna_Kournikova_0007.jpg,NEUTRAL
4064,Saddam_Hussein_0015.jpg,HAPPINESS
4645,Venus_Williams_0004.jpg,NEUTRAL
576,Brian_Mulroney_0002.jpg,NEUTRAL
2081,Jamie_Lee_Curtis_0001.jpg,HAPPINESS
3846,Richard_Butler_0001.jpg,NEUTRAL
3938,Robert_Mugabe_0001.jpg,NEUTRAL
1978,Jack_LaLanne_0001.jpg,HAPPINESS
4346,Taha_Yassin_Ramadan_0010.jpg,NEUTRAL
2242,Jeong_Se-hyun_0007.jpg,NEUTRAL
1852,Hilary_Duff_0003.jpg,HAPPINESS
4477,Tom_Crean_0005.jpg,HAPPINESS
1295,Erik_Morales_0002.jpg,NEUTRAL
3869,Richard_Norton-Taylor_0001.jpg,HAPPINESS
2153,Jean-Sebastien_Giguere_0001.jpg,HAPPINESS
3322,Missy_Crider_0001.jpg,HAPPINESS
3457,Nia_Vardalos_0005.jpg,HAPPINESS
2590,Juljia_Vysotskij_0001.jpg,HAPPINESS
3152,Max_Mayfield_0002.jpg,NEUTRAL
1130,Donald_Rumsfeld_0008.jpg,HAPPINESS
1771,Hamid_Karzai_0004.jpg,HAPPINESS
2267,Jerry_Springer_0004.jpg,NEUTRAL
2604,Justine_Pasek_0003.jpg,HAPPINESS
2082,Jamir_Miller_0001.jpg,HAPPINESS
2757,Kyle_McLaren_0001.jpg,NEUTRAL
2814,Laura_Schlessinger_0001.jpg,HAPPINESS
1263,Elvis_Stojko_0001.jpg,HAPPINESS
810,Clay_Aiken_0005.jpg,NEUTRAL
2870,Li_Peng_0008.jpg,HAPPINESS
287,Anthony_Hopkins_0001.jpg,NEUTRAL
1500,George_W_Bush_0207.jpg,HAPPINESS
2286,Jiang_Zemin_0015.jpg,HAPPINESS
2462,John_Travolta_0003.jpg,NEUTRAL
3223,Michael_Jackson_0008.jpg,NEUTRAL
1805,Hans_Blix_0036.jpg,HAPPINESS
442,Bernadette_Peters_0001.jpg,HAPPINESS
2449,John_Philip_Elkann_0001.jpg,NEUTRAL
412,Barrett_Jackman_0002.jpg,HAPPINESS
1575,George_W_Bush_0460.jpg,NEUTRAL
2669,Ken_Dorsey_0001.jpg,HAPPINESS
181,Amanda_Beard_0002.jpg,HAPPINESS
4012,Ron_Lantz_0001.jpg,NEUTRAL
4105,Sarah_Michelle_Gellar_0001.jpg,HAPPINESS
4734,Wen_Jiabao_0013.jpg,HAPPINESS
3920,Robert_DeFraites_0001.jpg,NEUTRAL
1010,David_Beckham_0013.jpg,HAPPINESS
1076,Derek_Jeter_0001.jpg,NEUTRAL
1216,Eduardo_Fischer_0001.jpg,HAPPINESS
3010,Mahmoud_Abbas_0009.jpg,NEUTRAL
1789,Hans_Blix_0013.jpg,HAPPINESS
4562,Tony_Blair_0103.jpg,NEUTRAL
1566,George_W_Bush_0416.jpg,NEUTRAL
2671,Ken_Loach_0001.jpg,NEUTRAL
2983,Lynn_Redgrave_0001.jpg,HAPPINESS
1424,Geno_Auriemma_0002.jpg,NEUTRAL
1669,Gloria_Macapagal_Arroyo_0009.jpg,HAPPINESS
470,Bill_Clinton_0016.jpg,HAPPINESS
352,Arnaud_Clement_0002.jpg,NEUTRAL
4376,Teddy_Kollek_0001.jpg,HAPPINESS
2914,Liza_Minnelli_0007.jpg,HAPPINESS
2912,Liza_Minnelli_0004.jpg,HAPPINESS
1372,Francois_Pienaar_0001.jpg,HAPPINESS
531,Bob_Huggins_0001.jpg,ANGER
1905,Hugo_Chavez_0062.jpg,NEUTRAL
939,Courtney_Cox_0001.jpg,HAPPINESS
2875,Liam_Neeson_0002.jpg,HAPPINESS
2736,Kofi_Annan_0022.jpg,NEUTRAL
841,Colin_Powell_0065.jpg,NEUTRAL
3842,Richard_Armitage_0004.jpg,NEUTRAL
3548,Oxana_Fedorova_0004.jpg,HAPPINESS
3708,Pieter_Bouw_0001.jpg,NEUTRAL
1108,Dick_Vermeil_0002.jpg,ANGER
4157,Serena_Williams_0038.jpg,HAPPINESS
2752,Kurt_Warner_0002.jpg,HAPPINESS
4287,Stephen_Daldry_0002.jpg,HAPPINESS
1092,Diane_Green_0001.jpg,NEUTRAL
2955,Luis_Gonzalez_Macchi_0004.jpg,NEUTRAL
1903,Hugo_Chavez_0054.jpg,NEUTRAL
4563,Tony_Blair_0104.jpg,HAPPINESS
3516,Norodom_Sihanouk_0003.jpg,NEUTRAL
4091,Sananda_Maitreya_0001.jpg,NEUTRAL
3724,Prince_Claus_0004.jpg,NEUTRAL
4666,Vicente_Fox_0014.jpg,NEUTRAL
4566,Tony_Blair_0116.jpg,NEUTRAL
4581,Tony_Blair_0140.jpg,HAPPINESS
2244,Jeremy_Gompertz_0001.jpg,NEUTRAL
3114,Mary-Kate_Olsen_0002.jpg,HAPPINESS
3082,Mark_Richt_0001.jpg,NEUTRAL
1737,Guillermo_Ortiz_0002.jpg,HAPPINESS
120,Alfredo_di_Stefano_0001.jpg,NEUTRAL
273,Anne_McLellan_0001.jpg,HAPPINESS
2067,James_Morris_0002.jpg,NEUTRAL
2985,Lynn_Redgrave_0003.jpg,HAPPINESS
1833,Heizo_Takenaka_0005.jpg,HAPPINESS
1258,Elsa_Zylberstein_0004.jpg,HAPPINESS
1661,Glen_Clark_0001.jpg,HAPPINESS
3859,Richard_Jewell_0001.jpg,NEUTRAL
976,Daniel_Zelman_0001.jpg,HAPPINESS
2511,Jose_Canseco_0001.jpg,NEUTRAL
3952,Robin_McLaurin_Williams_0002.jpg,HAPPINESS
2472,Jonathan_Edwards_0003.jpg,HAPPINESS
3221,Michael_Guiler_0001.jpg,NEUTRAL
2123,Javier_Solana_0004.jpg,NEUTRAL
773,Christopher_Walken_0004.jpg,HAPPINESS
930,Condoleezza_Rice_0002.jpg,NEUTRAL
1229,Ed_Case_0001.jpg,HAPPINESS
430,Benjamin_Netanyahu_0004.jpg,NEUTRAL
3259,Michelle_Kwan_0003.jpg,HAPPINESS
4015,Rosemarie_Stack_0001.jpg,HAPPINESS
3844,Richard_Armitage_0008.jpg,HAPPINESS
3538,Oscar_De_La_Hoya_0004.jpg,HAPPINESS
3791,Ray_Romano_0001.jpg,HAPPINESS
743,Cheryl_Little_0001.jpg,NEUTRAL
2650,Keith_Osik_0001.jpg,NEUTRAL
4032,Rudolph_Giuliani_0005.jpg,NEUTRAL
3673,Peter_Medgyessy_0001.jpg,NEUTRAL
2886,Linda_Mason_0001.jpg,HAPPINESS
3901,Robbie_Naish_0001.jpg,HAPPINESS
898,Colin_Powell_0188.jpg,ANGER
3600,Paul_Greengrass_0001.jpg,HAPPINESS
2355,Joe_Torre_0003.jpg,HAPPINESS
2127,Javier_Solana_0010.jpg,HAPPINESS
2981,Lynne_Slepian_0001.jpg,HAPPINESS
2358,Johnny_Carson_0001.jpg,HAPPINESS
687,Catherine_Bell_0001.jpg,HAPPINESS
1542,George_W_Bush_0345.jpg,NEUTRAL
4060,Saddam_Hussein_0009.jpg,HAPPINESS
1717,Greg_Rusedski_0004.jpg,HAPPINESS
4814,Yossi_Beilin_0002.jpg,NEUTRAL
2610,Justin_Timberlake_0002.jpg,HAPPINESS
1326,Faye_Dunaway_0003.jpg,HAPPINESS
1700,Gordon_McDonald_0001.jpg,NEUTRAL
2964,Luiz_Inacio_Lula_da_Silva_0013.jpg,HAPPINESS
1712,Greg_Frers_0001.jpg,HAPPINESS
1526,George_W_Bush_0283.jpg,HAPPINESS
1556,George_W_Bush_0380.jpg,NEUTRAL
3546,Oxana_Fedorova_0001.jpg,HAPPINESS
1779,Hamid_Karzai_0022.jpg,HAPPINESS
4440,Tippi_Hedren_0001.jpg,HAPPINESS
1331,Fazal-ur-Rehman_0001.jpg,NEUTRAL
2023,Jada_Pinkett_Smith_0001.jpg,HAPPINESS
599,Bruno_Junquiera_0001.jpg,HAPPINESS
4257,Sourav_Ganguly_0005.jpg,HAPPINESS
1872,Holly_Robinson_Peete_0001.jpg,HAPPINESS
3851,Richard_Gephardt_0009.jpg,NEUTRAL
3510,Norbert_van_Heyst_0001.jpg,HAPPINESS
674,Carol_Niedermayer_0001.jpg,HAPPINESS
2897,Lino_Oviedo_0001.jpg,HAPPINESS
2869,Li_Peng_0007.jpg,NEUTRAL
3313,Mile_Mrksic_0001.jpg,NEUTRAL
932,Coretta_Scott_King_0003.jpg,NEUTRAL
1900,Hugo_Chavez_0047.jpg,HAPPINESS
793,Ciro_Gomes_0002.jpg,HAPPINESS
3797,Razali_Ismail_0001.jpg,NEUTRAL
393,Atal_Bihari_Vajpayee_0022.jpg,NEUTRAL
2641,Kathy_Baker_0001.jpg,HAPPINESS
4550,Tony_Blair_0083.jpg,NEUTRAL
2654,Keizo_Yamada_0001.jpg,HAPPINESS
1166,Donald_Rumsfeld_0112.jpg,NEUTRAL
4205,Sheila_Fraser_0001.jpg,NEUTRAL
1313,Eurico_Guterres_0001.jpg,NEUTRAL
592,Brittany_Snow_0001.jpg,HAPPINESS
2785,Larry_Lindsey_0001.jpg,HAPPINESS
1813,Harry_Schmidt_0002.jpg,NEUTRAL
3382,Nancy_Pelosi_0012.jpg,NEUTRAL
4694,Vladimir_Putin_0004.jpg,NEUTRAL
1383,Frank_Stallone_0001.jpg,NEUTRAL
1953,Imad_Khadduri_0001.jpg,NEUTRAL
2190,Jennifer_Aniston_0003.jpg,SADNESS
3268,Michel_Therrien_0002.jpg,NEUTRAL
3553,Pamela_Anderson_0003.jpg,NEUTRAL
4398,Thaksin_Shinawatra_0003.jpg,HAPPINESS
1165,Donald_Rumsfeld_0111.jpg,NEUTRAL
1219,Eduard_Shevardnadze_0002.jpg,NEUTRAL
4329,Suzie_McConnell_Serio_0001.jpg,HAPPINESS
2144,Jean-Marc_de_La_Sabliere_0002.jpg,NEUTRAL
3700,Phoenix_Chang_0001.jpg,HAPPINESS
2099,Janica_Kostelic_0001.jpg,HAPPINESS
1938,Ian_Wilmut_0001.jpg,NEUTRAL
1814,Harry_Schmidt_0003.jpg,NEUTRAL
3345,Mohammed_Al-Douri_0009.jpg,NEUTRAL
2414,John_Howard_0015.jpg,NEUTRAL
1605,Gerard_de_Cortanze_0001.jpg,NEUTRAL
48,Aicha_El_Ouafi_0003.jpg,NEUTRAL
2591,Junichiro_Koizumi_0001.jpg,NEUTRAL
4615,Uma_Thurman_0003.jpg,HAPPINESS
3043,Mariam_Ali_Hassan_0001.jpg,NEUTRAL
4497,Tom_Ridge_0007.jpg,NEUTRAL
1046,David_Trimble_0002.jpg,NEUTRAL
2916,Lleyton_Hewitt_0005.jpg,NEUTRAL
1965,Islam_Karimov_0001.jpg,HAPPINESS
394,Atiabet_Ijan_Amabel_0001.jpg,HAPPINESS
924,Compay_Segundo_0001.jpg,NEUTRAL
1528,George_W_Bush_0286.jpg,HAPPINESS
307,Arianna_Huffington_0004.jpg,HAPPINESS
3886,Rick_Bland_0001.jpg,HAPPINESS
1863,Hilmi_Ozkok_0002.jpg,NEUTRAL
4025,Rubens_Barrichello_0006.jpg,HAPPINESS
462,Billy_Crystal_0001.jpg,HAPPINESS
4722,Wayne_Brady_0001.jpg,HAPPINESS
904,Colin_Powell_0195.jpg,NEUTRAL
22,Abdullah_Nasseef_0001.jpg,SURPRISE
1832,Heizo_Takenaka_0004.jpg,NEUTRAL
4439,Tina_Conner_0001.jpg,HAPPINESS
2660,Kelly_Santos_0001.jpg,HAPPINESS
1582,George_W_Bush_0486.jpg,SURPRISE
4443,Todd_Haynes_0001.jpg,HAPPINESS
3950,Robin_Cook_0001.jpg,NEUTRAL
4382,Teresa_Graves_0001.jpg,NEUTRAL
2263,Jerry_Jones_0001.jpg,NEUTRAL
4771,Winona_Ryder_0014.jpg,NEUTRAL
3297,Mike_Weir_0004.jpg,NEUTRAL
2920,Lleyton_Hewitt_0016.jpg,HAPPINESS
353,Arnie_Boehm_0001.jpg,NEUTRAL
1550,George_W_Bush_0372.jpg,NEUTRAL
3785,Ratna_Sari_Dewi_Sukarno_0001.jpg,HAPPINESS
1596,Georgina_Papin_0001.jpg,NEUTRAL
1214,Eduardo_Duhalde_0008.jpg,HAPPINESS
2053,James_Kelly_0003.jpg,NEUTRAL
4165,Sergei_Yushenkov_0001.jpg,SURPRISE
601,Bryan_Murray_0001.jpg,NEUTRAL
1005,Dave_Williams_0001.jpg,HAPPINESS
3880,Richie_Adubato_0001.jpg,NEUTRAL
1625,Gerhard_Schroeder_0065.jpg,NEUTRAL
3305,Mikhail_Kasyanov_0002.jpg,NEUTRAL
3862,Richard_Myers_0005.jpg,NEUTRAL
2107,Jan_Ullrich_0004.jpg,ANGER
4426,Tim_Curry_0001.jpg,HAPPINESS
3565,Patricia_Clarkson_0003.jpg,HAPPINESS
1256,Elmar_Brok_0001.jpg,NEUTRAL
733,Charlton_Heston_0005.jpg,NEUTRAL
4042,Rudy_Tomjanovich_0001.jpg,HAPPINESS
3779,Ranil_Wickremasinghe_0003.jpg,NEUTRAL
3790,Ray_Nagin_0001.jpg,HAPPINESS
2469,Jolanta_Kwasniewski_0002.jpg,HAPPINESS
2342,Joe_Finley_0001.jpg,NEUTRAL
665,Carmen_Electra_0006.jpg,HAPPINESS
3386,Nan_Wang_0002.jpg,HAPPINESS
195,Amy_Cotton_0001.jpg,HAPPINESS
4779,Wu_Peng_0001.jpg,NEUTRAL
917,Colin_Powell_0229.jpg,HAPPINESS
4515,Tony_Bennett_0004.jpg,HAPPINESS
3541,Oscar_Elias_Biscet_0001.jpg,NEUTRAL
2040,James_Cameron_0003.jpg,HAPPINESS
628,Carla_Myers_0002.jpg,NEUTRAL
1916,Hussam_Mohammed_Amin_0001.jpg,NEUTRAL
3741,Queen_Latifah_0002.jpg,HAPPINESS
4224,Silvan_Shalom_0005.jpg,NEUTRAL
3542,Oswaldo_Paya_0003.jpg,HAPPINESS
3873,Richard_Reid_0001.jpg,NEUTRAL
2477,Jonathan_Tiomkin_0001.jpg,HAPPINESS
4692,Vladimir_Meciar_0001.jpg,NEUTRAL
859,Colin_Powell_0121.jpg,NEUTRAL
4350,Takeo_Fukui_0001.jpg,NEUTRAL
1850,Hikmat_al-Azzawi_0001.jpg,NEUTRAL
3216,Michael_Diekmann_0001.jpg,NEUTRAL
2110,Jason_Biggs_0001.jpg,NEUTRAL
2413,John_Howard_0014.jpg,HAPPINESS
1422,Gene_Robinson_0002.jpg,NEUTRAL
1691,Gonzalo_Barrientos_0001.jpg,NEUTRAL
2933,Lloyd_Novick_0001.jpg,NEUTRAL
1827,Heidi_Klum_0003.jpg,HAPPINESS
4762,Willie_Wilson_0001.jpg,NEUTRAL
4637,Vanessa_Redgrave_0003.jpg,HAPPINESS
1981,Jack_Straw_0002.jpg,HAPPINESS
1843,Henri_Proglio_0001.jpg,HAPPINESS
2546,Juan_Jose_Lucas_0001.jpg,HAPPINESS
3014,Mahmoud_Abbas_0027.jpg,NEUTRAL
3290,Mike_Stefanik_0001.jpg,HAPPINESS
1797,Hans_Blix_0023.jpg,NEUTRAL
1598,Geraldine_Chaplin_0003.jpg,HAPPINESS
2058,James_Kopp_0001.jpg,SADNESS
3468,Nicklas_Lidstrom_0001.jpg,HAPPINESS
363,Arnold_Schwarzenegger_0022.jpg,HAPPINESS
1320,Faisal_Saleh_Hayat_0001.jpg,NEUTRAL
2223,Jennifer_Lopez_0007.jpg,HAPPINESS
896,Colin_Powell_0184.jpg,NEUTRAL
2372,John_Ashcroft_0005.jpg,SURPRISE
4708,Vladimir_Spidla_0003.jpg,HAPPINESS
1638,Gerhard_Schroeder_0101.jpg,NEUTRAL
1811,Harrison_Ford_0004.jpg,HAPPINESS
1644,Gerry_Adams_0006.jpg,NEUTRAL
2323,Joan_Jett_0001.jpg,NEUTRAL
4613,Uday_Hussein_0001.jpg,HAPPINESS
2969,Luiz_Inacio_Lula_da_Silva_0024.jpg,HAPPINESS
3948,Robert_Zoellick_0002.jpg,NEUTRAL
4048,Russell_Simmons_0003.jpg,HAPPINESS
3667,Peter_Goldmark_0001.jpg,HAPPINESS
3597,Paul_Celluci_0001.jpg,NEUTRAL
3836,Ricardo_Monasterio_0001.jpg,HAPPINESS
1299,Ernesto_Zedillo_0002.jpg,HAPPINESS
1778,Hamid_Karzai_0021.jpg,NEUTRAL
2827,Lee_Hoi-chang_0001.jpg,HAPPINESS
2384,John_Ashcroft_0035.jpg,NEUTRAL
114,Alex_Holmes_0001.jpg,HAPPINESS
1568,George_W_Bush_0422.jpg,HAPPINESS
948,Cruz_Bustamante_0004.jpg,HAPPINESS
1912,Hun_Sen_0001.jpg,HAPPINESS
1486,George_W_Bush_0139.jpg,NEUTRAL
693,Catherine_Zeta-Jones_0009.jpg,HAPPINESS
2506,Joseph_Estrada_0003.jpg,NEUTRAL
3285,Mike_Matthews_0001.jpg,NEUTRAL
652,Carlos_Moya_0015.jpg,NEUTRAL
2175,Jean_Chretien_0052.jpg,NEUTRAL
3818,Reese_Witherspoon_0003.jpg,HAPPINESS
3687,Petria_Thomas_0003.jpg,HAPPINESS
3856,Richard_Greenberg_0001.jpg,HAPPINESS
2085,Janette_Husarova_0001.jpg,HAPPINESS
4336,Sylvester_Stallone_0005.jpg,HAPPINESS
4599,Trent_Lott_0016.jpg,NEUTRAL
4812,Yoriko_Kawaguchi_0014.jpg,NEUTRAL
1722,Guillaume_Soro_0001.jpg,NEUTRAL
311,Ariel_Sharon_0008.jpg,NEUTRAL
2117,Jason_Sehorn_0001.jpg,HAPPINESS
